Item Fat Content,Item Identifier,Type,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Regular,FDG35,Food,Starchy Foods,2018,OUT019,Tier 1,Small,Grocery Store,1.23,13.69,173.8738,5
Regular,FDD38,Food,Canned,2018,OUT019,Tier 1,Small,Grocery Store,1.43,12.31,103.7674,5
Regular,FDE41,Food,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,0,12.87,83.7566,5
Low Fat,FDP24,Food,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,8.3,20.6,119.4756,5
Low Fat,FDH38,Food,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,1.04,6.425,115.8808,5
Low Fat,FDT49,Food,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,15.14,7,107.728,5
Low Fat,FDN02,Food,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,7.38,16.5,208.8638,5
Low Fat,DRF27,Drink,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,2.84,8.93,154.534,5
Low Fat,FDT02,Food,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,2.42,12.6,36.1874,5
Low Fat,FDF05,Food,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,2.69,17.5,264.491,5
Low Fat,FDI45,Food,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,3.76,13.1,175.5054,5
Low Fat,FDZ20,Food,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,3.43,16.1,252.3356,5
Low Fat,NCC42,Non-Consumable,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,4.49,15,140.2838,5
Low Fat,NCQ53,Non-Consumable,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,1.89,17.6,234.659,5
Low Fat,NCR54,Non-Consumable,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,9.06,16.35,198.211,5
Low Fat,NCX06,Non-Consumable,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,1.57,17.6,182.6976,5
Low Fat,NCO06,Non-Consumable,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,10.8,19.25,32.4558,5
Low Fat,NCN54,Non-Consumable,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,2.13,20.35,76.1328,5
Low Fat,FDL27,Food,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,1.06,6.17,65.9826,5
Low Fat,FDV51,Food,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,3.25,16.35,165.7842,5
Low Fat,FDC46,Food,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,11.65,17.7,182.6266,5
Low Fat,FDZ58,Food,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,5.22,17.85,122.8072,5
Low Fat,FDN21,Food,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,7.69,18.6,161.0236,5
Low Fat,FDO58,Food,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,3.96,19.6,166.1526,5
Low Fat,DRD24,Drink,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,3.08,13.85,143.3154,5
Low Fat,DRI37,Drink,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,10.76,15.85,58.7904,5
Regular,FDI12,Food,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,10.04,9.395,89.6856,5
Regular,FDP12,Food,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,4.53,9.8,36.9874,5
Regular,FDO01,Food,Breakfast,2016,OUT046,Tier 1,Small,Supermarket Type1,2.07,21.1,130.4994,5
Regular,FDZ37,Food,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,1.98,8.1,88.6198,5
Regular,FDJ15,Food,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,2.33,11.35,182.5608,5
Regular,FDM04,Food,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,4.71,9.195,53.1666,5
Regular,FDI40,Food,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,12.56,11.5,100.8358,5
Regular,FDX04,Food,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,4.16,19.6,49.9376,5
Regular,FDS15,Food,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,7.81,9.195,106.3596,5
Regular,FDJ57,Food,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,2.16,7.42,184.6582,5
Regular,FDG21,Food,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,14.63,17.35,150.405,5
Regular,FDW21,Food,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.6,5.34,99.5358,5
Regular,FDX10,Food,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,12.37,6.385,37.1874,5
Low Fat,DRI51,Drink,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0,17.25,171.5764,5
Low Fat,NCZ17,Non-Consumable,Health and Hygiene,2020,OUT017,Tier 2,Medium,Supermarket Type1,0,12.15,39.1506,5
Low Fat,DRE25,Drink,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,7.37,15.35,91.912,5
Low Fat,FDT60,Food,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,7.57,12,124.6388,5
Low Fat,FDN24,Food,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,11.35,14.1,56.1956,5
Low Fat,FDO37,Food,Breakfast,2015,OUT045,Tier 2,Medium,Supermarket Type1,2.14,8.06,232.0326,5
Low Fat,FDI14,Food,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,8.99,14.1,140.2496,5
Low Fat,FDW37,Food,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,12.43,19.2,89.7488,5
Low Fat,DRC27,Drink,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,5.82,13.8,247.4802,5
Low Fat,FDK16,Food,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,11.56,9.065,96.0094,5
Low Fat,FDK41,Food,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,12.78,14.3,83.6224,5
Low Fat,FDY31,Food,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,4.37,5.98,146.1418,5
Low Fat,FDT20,Food,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,4.15,10.5,36.8164,5
Low Fat,FDI45,Food,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,3.77,13.1,175.8054,5
Low Fat,FDG57,Food,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,7.24,14.7,48.6034,5
Low Fat,FDN32,Food,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,1.56,17.5,184.8266,5
Low Fat,FDX19,Food,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,9.69,19.1,233.8958,5
Low Fat,FDP20,Food,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,4.58,19.85,125.602,5
Low Fat,NCR17,Non-Consumable,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,2.44,9.8,116.4492,5
Low Fat,NCT17,Non-Consumable,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,4.2,10.8,190.0214,5
Low Fat,NCU05,Non-Consumable,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,5.89,11.8,79.1618,5
Low Fat,NCT42,Non-Consumable,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,2.49,5.88,148.4392,5
Low Fat,NCV18,Non-Consumable,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,10.55,6.775,84.625,5
Low Fat,NCH43,Non-Consumable,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,7.07,8.42,216.4192,5
Low Fat,NCE18,Non-Consumable,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,2.15,10,251.675,5
Low Fat,NCC18,Non-Consumable,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,17.76,19.1,173.9422,5
Low Fat,NCJ42,Non-Consumable,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,1.43,19.75,104.2332,5
Low Fat,FDQ10,Food,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,3.32,12.85,172.4422,5
Low Fat,FDL34,Food,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,4.1,16,142.6496,5
Low Fat,DRK37,Drink,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0,5,189.853,5
Low Fat,DRF48,Drink,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,5.19,5.73,188.1898,5
Low Fat,DRG49,Drink,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,6.76,7.81,246.0486,5
Low Fat,FDX60,Food,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,8.11,14.35,79.196,5
Low Fat,FDS13,Food,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,12.52,6.465,266.8884,5
Low Fat,FDC50,Food,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,13.73,15.85,94.4094,5
Low Fat,FDK51,Food,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.53,19.85,264.5884,5
Low Fat,FDD17,Food,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,3.28,7.5,239.6906,5
Low Fat,FDJ28,Food,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,2.2,12.3,191.2162,5
Low Fat,FDP16,Food,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,3.95,18.6,243.6802,5
Low Fat,FDB20,Food,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,5.23,7.72,79.1986,5
Low Fat,FDP56,Food,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,4.67,8.185,49.9692,5
Low Fat,FDT43,Food,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,2.07,16.35,50.8324,5
Low Fat,DRI59,Drink,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,4.11,9.5,223.5088,5
Low Fat,DRN47,Drink,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,1.69,12.1,178.366,5
Low Fat,DRM23,Drink,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,13.65,16.6,173.3422,5
Low Fat,NCN53,Non-Consumable,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,3.05,5.175,33.5874,5
Low Fat,NCT53,Non-Consumable,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,4.84,5.4,163.0526,5
Low Fat,NCQ05,Non-Consumable,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0,11.395,149.2708,5
Low Fat,NCM53,Non-Consumable,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,5.23,18.75,108.128,5
Low Fat,NCX42,Non-Consumable,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.6,6.36,163.0526,5
Low Fat,NCT18,Non-Consumable,Household,2020,OUT017,Tier 2,High,Supermarket Type1,5.97,14.6,179.6976,5
Low Fat,NCI30,Non-Consumable,Household,2020,OUT017,Tier 2,High,Supermarket Type1,5.93,20.25,246.446,5
Low Fat,NCE54,Non-Consumable,Household,2020,OUT017,Tier 2,High,Supermarket Type1,2.71,20.7,73.9354,5
Low Fat,FDH19,Food,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,3.33,19.35,173.8738,5
Low Fat,FDT03,Food,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,1.01,21.25,183.1608,5
Low Fat,NCN19,Non-Consumable,Others,2020,OUT017,Tier 2,High,Supermarket Type1,1.22,13.1,190.253,5
Low Fat,NCQ43,Non-Consumable,Others,2020,OUT017,Tier 2,High,Supermarket Type1,11.19,17.75,108.8912,5
Low Fat,FDK09,Food,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,9.23,15.2,227.2352,5
Low Fat,FDV46,Food,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,1.27,18.2,139.818,5
Low Fat,FDY46,Food,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,4.82,18.6,188.9898,5
Regular,FDK26,Food,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,3.22,5.46,187.624,5
Regular,FDI50,Food,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,3.09,8.42,227.6352,5
Regular,FDB26,Food,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,3.13,14,52.364,5
Regular,FDY49,Food,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,1.2,17.2,165.7184,5
Regular,FDB04,Food,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,6.34,11.35,88.9856,5
Regular,FDA02,Food,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,2.98,14,146.3786,5
Regular,FDZ28,Food,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,5.16,20,128.0678,5
Regular,FDE17,Food,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,5.46,20.1,152.2366,5
Regular,FDQ19,Food,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,1.44,7.35,241.3512,5
Regular,FDM08,Food,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,5.37,10.1,222.9088,5
Regular,FDP03,Food,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,6.13,5.15,122.1388,5
Regular,FDU58,Food,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0,6.61,186.4898,5
